12.1003 	EXP 	window1: mouseVisible = True
12.1006 	EXP 	window1: mouseVisible = True
12.1008 	EXP 	window1: mouseVisible = True
12.1062 	EXP 	window1: mouseVisible = True
12.1063 	EXP 	window1: mouseVisible = True
12.1066 	EXP 	window1: mouseVisible = True
12.1069 	EXP 	window1: mouseVisible = True
12.1124 	EXP 	window1: mouseVisible = True
12.1125 	EXP 	window1: mouseVisible = True
12.1128 	EXP 	window1: mouseVisible = True
12.1131 	EXP 	window1: mouseVisible = True
12.1185 	EXP 	window1: mouseVisible = True
12.1186 	EXP 	window1: mouseVisible = True
12.1189 	EXP 	window1: mouseVisible = True
12.1191 	EXP 	window1: mouseVisible = True
12.1246 	EXP 	window1: mouseVisible = True
12.1247 	EXP 	window1: mouseVisible = True
12.1250 	EXP 	window1: mouseVisible = True
12.1252 	EXP 	window1: mouseVisible = True
12.1305 	EXP 	window1: mouseVisible = True
12.1306 	EXP 	window1: mouseVisible = True
12.1308 	EXP 	window1: mouseVisible = True
12.1311 	EXP 	window1: mouseVisible = True
12.1362 	EXP 	window1: mouseVisible = True
12.1363 	EXP 	window1: mouseVisible = True
12.1366 	EXP 	window1: mouseVisible = True
12.1368 	EXP 	window1: mouseVisible = True
12.1423 	EXP 	window1: mouseVisible = True
12.1424 	EXP 	window1: mouseVisible = True
12.1426 	EXP 	window1: mouseVisible = True
12.1429 	EXP 	window1: mouseVisible = True
12.1482 	EXP 	window1: mouseVisible = True
12.1482 	EXP 	window1: mouseVisible = True
12.1485 	EXP 	window1: mouseVisible = True
12.1488 	EXP 	window1: mouseVisible = True
12.1544 	EXP 	window1: mouseVisible = True
12.1545 	EXP 	window1: mouseVisible = True
12.1548 	EXP 	window1: mouseVisible = True
12.1551 	EXP 	window1: mouseVisible = True
12.1605 	EXP 	window1: mouseVisible = True
12.1614 	EXP 	window1: mouseVisible = True
12.1898 	EXP 	Created slider_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='slider_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
12.1899 	EXP 	window1: mouseVisible = True
12.5561 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style', units='height', win=Window(...), wrapWidth=1)
12.5562 	EXP 	window1: mouseVisible = True
12.5587 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.5588 	EXP 	window1: mouseVisible = True
12.5747 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.5748 	EXP 	window1: mouseVisible = True
12.5759 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.5760 	EXP 	window1: mouseVisible = True
12.5773 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.225,  0.2  ]), size=array([0.305, 0.23 ]), units='height', vertices=ndarray(...), win=Window(...))
12.5773 	EXP 	window1: mouseVisible = True
12.5786 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.225, 0.2  ]), size=array([0.305, 0.23 ]), units='height', vertices=ndarray(...), win=Window(...))
12.5786 	EXP 	window1: mouseVisible = True
12.5959 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
12.5960 	EXP 	window1: mouseVisible = True
12.6113 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
12.6133 	EXP 	window1: mouseVisible = True
12.6136 	EXP 	window1: mouseVisible = True
12.6148 	EXP 	window1: mouseVisible = True
12.6149 	EXP 	window1: mouseVisible = True
12.6152 	EXP 	window1: mouseVisible = True
12.6155 	EXP 	window1: mouseVisible = True
12.6210 	EXP 	window1: mouseVisible = True
12.6211 	EXP 	window1: mouseVisible = True
12.6214 	EXP 	window1: mouseVisible = True
12.6216 	EXP 	window1: mouseVisible = True
12.6270 	EXP 	window1: mouseVisible = True
12.6271 	EXP 	window1: mouseVisible = True
12.6274 	EXP 	window1: mouseVisible = True
12.6276 	EXP 	window1: mouseVisible = True
12.6328 	EXP 	window1: mouseVisible = True
12.6329 	EXP 	window1: mouseVisible = True
12.6332 	EXP 	window1: mouseVisible = True
12.6334 	EXP 	window1: mouseVisible = True
12.6385 	EXP 	window1: mouseVisible = True
12.6391 	EXP 	window1: mouseVisible = True
12.6395 	EXP 	window1: mouseVisible = True
12.6397 	EXP 	window1: mouseVisible = True
12.6450 	EXP 	window1: mouseVisible = True
12.6451 	EXP 	window1: mouseVisible = True
12.6454 	EXP 	window1: mouseVisible = True
12.6457 	EXP 	window1: mouseVisible = True
12.6510 	EXP 	window1: mouseVisible = True
12.6511 	EXP 	window1: mouseVisible = True
12.6515 	EXP 	window1: mouseVisible = True
12.6518 	EXP 	window1: mouseVisible = True
12.6569 	EXP 	window1: mouseVisible = True
12.6570 	EXP 	window1: mouseVisible = True
12.6573 	EXP 	window1: mouseVisible = True
12.6576 	EXP 	window1: mouseVisible = True
12.6629 	EXP 	window1: mouseVisible = True
12.6630 	EXP 	window1: mouseVisible = True
12.6633 	EXP 	window1: mouseVisible = True
12.6635 	EXP 	window1: mouseVisible = True
12.6689 	EXP 	window1: mouseVisible = True
12.6690 	EXP 	window1: mouseVisible = True
12.6693 	EXP 	window1: mouseVisible = True
12.6695 	EXP 	window1: mouseVisible = True
12.6749 	EXP 	window1: mouseVisible = True
12.6750 	EXP 	window1: mouseVisible = True
12.6754 	EXP 	window1: mouseVisible = True
12.6757 	EXP 	window1: mouseVisible = True
12.6809 	EXP 	window1: mouseVisible = True
12.6810 	EXP 	window1: mouseVisible = True
12.6813 	EXP 	window1: mouseVisible = True
12.6816 	EXP 	window1: mouseVisible = True
12.6863 	EXP 	window1: mouseVisible = True
12.6864 	EXP 	window1: mouseVisible = True
12.6870 	EXP 	window1: mouseVisible = True
12.6875 	EXP 	window1: mouseVisible = True
12.6929 	EXP 	window1: mouseVisible = True
12.6930 	EXP 	window1: mouseVisible = True
12.6933 	EXP 	window1: mouseVisible = True
12.6935 	EXP 	window1: mouseVisible = True
12.6986 	EXP 	window1: mouseVisible = True
12.6995 	EXP 	window1: mouseVisible = True
12.7273 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
12.7275 	EXP 	window1: mouseVisible = True
12.7297 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
12.7314 	EXP 	window1: mouseVisible = True
12.7317 	EXP 	window1: mouseVisible = True
12.7330 	EXP 	window1: mouseVisible = True
12.7330 	EXP 	window1: mouseVisible = True
12.7336 	EXP 	window1: mouseVisible = True
12.7340 	EXP 	window1: mouseVisible = True
12.7403 	EXP 	window1: mouseVisible = True
12.7404 	EXP 	window1: mouseVisible = True
12.7406 	EXP 	window1: mouseVisible = True
12.7409 	EXP 	window1: mouseVisible = True
12.7458 	EXP 	window1: mouseVisible = True
12.7459 	EXP 	window1: mouseVisible = True
12.7461 	EXP 	window1: mouseVisible = True
12.7464 	EXP 	window1: mouseVisible = True
12.7518 	EXP 	window1: mouseVisible = True
12.7518 	EXP 	window1: mouseVisible = True
12.7521 	EXP 	window1: mouseVisible = True
12.7524 	EXP 	window1: mouseVisible = True
12.7574 	EXP 	window1: mouseVisible = True
12.7575 	EXP 	window1: mouseVisible = True
12.7577 	EXP 	window1: mouseVisible = True
12.7580 	EXP 	window1: mouseVisible = True
12.7629 	EXP 	window1: mouseVisible = True
12.7629 	EXP 	window1: mouseVisible = True
12.7637 	EXP 	window1: mouseVisible = True
12.7640 	EXP 	window1: mouseVisible = True
12.7698 	EXP 	window1: mouseVisible = True
12.7699 	EXP 	window1: mouseVisible = True
12.7702 	EXP 	window1: mouseVisible = True
12.7705 	EXP 	window1: mouseVisible = True
12.7762 	EXP 	window1: mouseVisible = True
12.7763 	EXP 	window1: mouseVisible = True
12.7766 	EXP 	window1: mouseVisible = True
12.7768 	EXP 	window1: mouseVisible = True
12.7820 	EXP 	window1: mouseVisible = True
12.7821 	EXP 	window1: mouseVisible = True
12.7823 	EXP 	window1: mouseVisible = True
12.7826 	EXP 	window1: mouseVisible = True
12.7882 	EXP 	window1: mouseVisible = True
12.7883 	EXP 	window1: mouseVisible = True
12.7886 	EXP 	window1: mouseVisible = True
12.8326 	EXP 	window1: mouseVisible = True
12.8395 	EXP 	window1: mouseVisible = True
12.8397 	EXP 	window1: mouseVisible = True
12.8400 	EXP 	window1: mouseVisible = True
12.8403 	EXP 	window1: mouseVisible = True
12.8459 	EXP 	window1: mouseVisible = True
12.8460 	EXP 	window1: mouseVisible = True
12.8463 	EXP 	window1: mouseVisible = True
12.8466 	EXP 	window1: mouseVisible = True
12.8521 	EXP 	window1: mouseVisible = True
12.8522 	EXP 	window1: mouseVisible = True
12.8525 	EXP 	window1: mouseVisible = True
12.8527 	EXP 	window1: mouseVisible = True
12.8585 	EXP 	window1: mouseVisible = True
12.8586 	EXP 	window1: mouseVisible = True
12.8589 	EXP 	window1: mouseVisible = True
12.8591 	EXP 	window1: mouseVisible = True
12.8644 	EXP 	window1: mouseVisible = True
12.8653 	EXP 	window1: mouseVisible = True
12.8948 	EXP 	Created slider_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='slider_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
12.8950 	EXP 	window1: mouseVisible = True
12.8981 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style', units='height', win=Window(...), wrapWidth=1)
12.8982 	EXP 	window1: mouseVisible = True
12.8993 	EXP 	Created message_end = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='message_end', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0035 	EXP 	slider: autoLog = True
0.0035 	EXP 	slider: styleTweaks = []
0.0035 	EXP 	slider: styleTweaks = []
0.0035 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0035 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0035 	EXP 	slider: contrast = 1.0
0.0035 	EXP 	slider: markerPos = None
0.0035 	EXP 	slider: autoLog = True
0.0035 	EXP 	slider_2: autoLog = True
0.0035 	EXP 	slider_2: styleTweaks = []
0.0035 	EXP 	slider_2: styleTweaks = []
0.0035 	EXP 	slider_2: styleTweaks = ['triangleMarker']
