sub_num,trial,block,task,is_practice,category,image,texture,jitter
101,36,1,categorization,0,kitchen,sun_ahvszpwjtodgwusx.jpg,41,0.919575561489915
101,37,1,categorization,0,bathroom,sun_ausgutylgojavyoq.jpg,103,1.01130920267514
101,38,1,categorization,0,kitchen,sun_aegoxogugdkwpmpj.jpg,27,1.35750580935931
101,39,1,categorization,0,bathroom,sun_abtukhmkjdzyfxhr.jpg,68,1.70733404672499
101,40,1,categorization,0,kitchen,sun_aiffeoqzngslhzfi.jpg,43,1.00084435329329
101,41,1,categorization,0,kitchen,sun_acfluyeqiftljamq.jpg,21,1.27954374771473
101,42,1,categorization,0,bathroom,labelme_xbsnnlvmskdknsb.jpg,62,1.12900288836278
101,43,1,categorization,0,bathroom,sun_apeeialkgkuxddgh.jpg,94,1.90635889696355
101,44,1,categorization,0,kitchen,sun_acxkpeoqbwcxfvip.jpg,24,0.992292687887034
101,45,1,categorization,0,kitchen,sun_abrcnpqqhmjwekyf.jpg,20,0.944354279059757
101,46,1,categorization,0,bathroom,sun_atstyziqcmkahyxk.jpg,101,1.14243554192956
101,47,1,categorization,0,kitchen,sun_aypmqwcualkenuoe.jpg,60,0.818110225977978
101,48,1,categorization,0,kitchen,sun_aggjlwcdjsjcaemh.jpg,33,1.5317465103418
101,49,1,categorization,0,kitchen,sun_auticobqsbwgoppi.jpg,54,1.42522737018278
101,50,1,categorization,0,bathroom,sun_anhioqovhscjqqwb.jpg,89,1.77246464809961
101,1,2,categorization,0,bathroom,sun_aovflwamhlwzwvxs.jpg,92,0.730465142179182
101,2,2,categorization,0,bathroom,sun_axxbkopsgyouuebh.jpg,108,1.07881416224068
101,3,2,categorization,0,bathroom,sun_adbqksnwuqqwdpxc.jpg,72,1.03571433647855
101,4,2,categorization,0,bathroom,sun_aqrpegblszgcoujh.jpg,97,1.03766531281911
101,5,2,categorization,0,kitchen,sun_acfmftudsenhrfhy.jpg,22,1.3381153739099
101,6,2,categorization,0,bathroom,sun_aiskgiwswewisvph.jpg,80,0.808274211876249
101,7,2,categorization,0,bathroom,sun_abjtwfukuwddzted.jpg,67,0.892689575009453
101,8,2,categorization,0,bathroom,sun_axyrejkiiaqiurjk.jpg,109,0.899668523937605
101,9,2,categorization,0,kitchen,sun_auaiucuqpdausiva.jpg,53,1.00024987871367
101,10,2,categorization,0,bathroom,sun_alkosphxlxwjwgjd.jpg,85,1.24621724646333
101,11,2,categorization,0,bathroom,sun_aclfzgynxzxlbepz.jpg,70,1.46608049222182
101,12,2,categorization,0,kitchen,sun_aexklacwqwezaorf.jpg,31,1.36292208290917
101,13,2,categorization,0,kitchen,sun_agzzivivdpnawacl.jpg,37,0.717823330148351
101,14,2,categorization,0,kitchen,sun_alazdvaixpjtegwg.jpg,47,0.95747719094975
101,15,2,categorization,0,bathroom,sun_ahcvzmoyaycdoftf.jpg,78,1.03933335938747
101,16,2,categorization,0,bathroom,sun_axbqssteryzzlcop.jpg,107,1.70390766327659
101,17,2,categorization,0,bathroom,sun_azqyogdvyhahyram.jpg,110,0.776270270303076
101,18,2,categorization,0,bathroom,sun_aspsyogrekjtfozg.jpg,100,0.980544301915865
101,19,2,categorization,0,kitchen,sun_adgqasybjyktddhj.jpg,25,1.04236128708123
101,20,2,categorization,0,bathroom,sun_aavhrsfjbserjtht.jpg,65,1.02649849359431
101,21,2,categorization,0,kitchen,sun_admlmbcdswaszruo.jpg,26,1.22236219528856
101,22,2,categorization,0,kitchen,sun_abdenxonkemggwsq.jpg,17,1.29107545347452
101,23,2,categorization,0,kitchen,sun_alpduwskzkgbcfui.jpg,48,0.771601875639175
101,24,2,categorization,0,kitchen,sun_ahpczsiumwwocjkv.jpg,40,1.12641351728284
101,25,2,categorization,0,kitchen,sun_aadbddgrdsjugojn.jpg,12,0.894541927435003
101,26,2,categorization,0,kitchen,sun_ataniphupyuxeowc.jpg,52,1.1510788741365
101,27,2,categorization,0,kitchen,sun_aamedkxepzlwuxes.jpg,13,1.93430707893222
101,28,2,categorization,0,bathroom,labelme_sfxiulhjbhlyiyt.jpg,61,1.88646457151429
101,29,2,categorization,0,kitchen,sun_amjjdeyrggfqgmom.jpg,49,1.78435535075797
101,30,2,categorization,0,bathroom,sun_aamrfepkhweyewue.jpg,63,0.783861195503702
