sub_num,trial,block,task,is_practice,category,image,texture,duration,blank,mask,mask_dur,mask_texture,jitter
101,16,1,categorization,0,bathroom,SHINEd_sun_anhioqovhscjqqwb.tif,39,83.33,33.33,1,83.33,121,1.20339776977028
101,17,1,categorization,0,kitchen,SHINEd_sun_agzzivivdpnawacl.tif,87,83.33,33.33,1,83.33,121,1.21121498693618
101,18,1,categorization,0,kitchen,SHINEd_sun_anbcmfjhobvmedkq.tif,100,83.33,33.33,1,83.33,121,0.941135269969678
101,19,1,categorization,0,kitchen,SHINEd_sun_anbcmfjhobvmedkq.tif,100,83.33,33.33,1,83.33,121,0.956695302565915
101,20,1,categorization,0,bathroom,SHINEd_sun_aamrfepkhweyewue.tif,13,83.33,33.33,1,83.33,121,0.898634331068126
101,21,1,categorization,0,bathroom,SHINEd_sun_axbqssteryzzlcop.tif,57,83.33,33.33,1,83.33,121,0.909707434862564
101,22,1,categorization,0,bathroom,SHINEd_sun_abtukhmkjdzyfxhr.tif,18,83.33,33.33,1,83.33,121,1.20001208662005
101,23,1,categorization,0,kitchen,SHINEd_sun_aggjlwcdjsjcaemh.tif,83,83.33,33.33,1,83.33,121,1.847449608257
101,24,1,categorization,0,kitchen,SHINEd_sun_acwjdupvyjsugpay.tif,73,83.33,33.33,1,83.33,121,1.7256062200803
101,25,1,categorization,0,kitchen,SHINEd_sun_amjjdeyrggfqgmom.tif,99,83.33,33.33,1,83.33,121,1.83371884755257
101,26,1,categorization,0,kitchen,SHINEd_sun_abdenxonkemggwsq.tif,67,83.33,33.33,1,83.33,121,0.753453931303294
101,27,1,categorization,0,bathroom,SHINEd_sun_ammzpemadwrjdfzl.tif,37,83.33,33.33,1,83.33,121,0.998975462507992
101,28,1,categorization,0,kitchen,SHINEd_sun_agzzivivdpnawacl.tif,87,83.33,33.33,1,83.33,121,0.766881174462406
101,29,1,categorization,0,kitchen,SHINEd_labelme_rykdqxenmhulbdn.tif,61,83.33,33.33,1,83.33,121,1.48951863989427
101,30,1,categorization,0,bathroom,SHINEd_labelme_xbsnnlvmskdknsb.tif,12,83.33,33.33,1,83.33,121,1.70002984857835
101,31,1,categorization,0,kitchen,SHINEd_sun_acfmftudsenhrfhy.tif,72,83.33,33.33,1,83.33,121,1.2735423716557
101,32,1,categorization,0,kitchen,SHINEd_sun_aqeaevwwwjoqhzvl.tif,101,83.33,33.33,1,83.33,121,0.744412138123322
101,33,1,categorization,0,kitchen,SHINEd_sun_aqeaevwwwjoqhzvl.tif,101,83.33,33.33,1,83.33,121,1.1221062938177
101,34,1,categorization,0,kitchen,SHINEd_sun_agorklincwxrdtga.tif,85,83.33,33.33,1,83.33,121,1.41920232469111
101,35,1,categorization,0,bathroom,SHINEd_sun_aspsyogrekjtfozg.tif,50,83.33,33.33,1,83.33,121,0.77711395587342
101,36,1,categorization,0,kitchen,SHINEd_sun_avszsnwsbuqfgzbn.tif,105,83.33,33.33,1,83.33,121,0.754263865761493
101,37,1,categorization,0,bathroom,SHINEd_sun_anlddfvefwvocyae.tif,40,83.33,33.33,1,83.33,121,0.758067404511556
101,38,1,categorization,0,bathroom,SHINEd_sun_alkosphxlxwjwgjd.tif,35,83.33,33.33,1,83.33,121,1.3791370435698
101,39,1,categorization,0,bathroom,SHINEd_sun_ausgutylgojavyoq.tif,53,83.33,33.33,1,83.33,121,1.22451395640892
101,40,1,categorization,0,bathroom,SHINEd_sun_ajlpekbqvytdohqb.tif,31,83.33,33.33,1,83.33,121,0.934932863410733
101,41,1,categorization,0,bathroom,SHINEd_sun_axxbkopsgyouuebh.tif,58,83.33,33.33,1,83.33,121,0.824697451514571
101,42,1,categorization,0,bathroom,SHINEd_sun_agyqfjcfkdcydepw.tif,27,83.33,33.33,1,83.33,121,1.64513120344822
101,43,1,categorization,0,bathroom,SHINEd_sun_axbqssteryzzlcop.tif,57,83.33,33.33,1,83.33,121,0.88299472395948
101,44,1,categorization,0,bathroom,SHINEd_sun_acgyywnybuveqsro.tif,19,83.33,33.33,1,83.33,121,1.32280195355616
101,45,1,categorization,0,bathroom,SHINEd_sun_adbqksnwuqqwdpxc.tif,22,83.33,33.33,1,83.33,121,0.714478698759589
101,46,1,categorization,0,bathroom,SHINEd_sun_axbqssteryzzlcop.tif,57,83.33,33.33,1,83.33,121,0.79922196747016
101,47,1,categorization,0,bathroom,SHINEd_sun_abtukhmkjdzyfxhr.tif,18,83.33,33.33,1,83.33,121,1.78017307311692
101,48,1,categorization,0,kitchen,SHINEd_sun_aeikbkmhphqzxdkv.tif,79,83.33,33.33,1,83.33,121,1.78391254456396
