sub1,sub2,pairID,trialID
106,118,168,168
106,119,169,169
106,120,170,170
106,121,171,171
106,122,172,172
106,123,173,173
106,124,174,174
106,125,175,175
106,126,176,176
106,127,177,177
106,129,178,178
106,130,179,179
106,131,180,180
106,132,181,181
106,134,182,182
106,135,183,183
106,136,184,184
106,137,185,185
106,138,186,186
106,139,187,187
106,140,188,188
106,141,189,189
109,111,190,190
109,112,191,191
109,113,192,192
109,114,193,193
109,116,194,194
109,117,195,195
109,118,196,196
109,119,197,197
109,120,198,198
109,121,199,199
109,122,200,200
109,123,201,201
109,124,202,202
109,125,203,203
109,126,204,204
109,127,205,205
109,129,206,206
109,130,207,207
109,131,208,208
109,132,209,209
109,134,210,210
109,135,211,211
109,136,212,212
109,137,213,213
109,138,214,214
109,139,215,215
109,140,216,216
109,141,217,217
111,112,218,218
111,113,219,219
111,114,220,220
111,116,221,221
111,117,222,222
111,118,223,223
111,119,224,224
111,120,225,225
111,121,226,226
111,122,227,227
111,123,228,228
111,124,229,229
111,125,230,230
111,126,231,231
111,127,232,232
111,129,233,233
111,130,234,234
111,131,235,235
111,132,236,236
111,134,237,237
111,135,238,238
111,136,239,239
111,137,240,240
111,138,241,241
111,139,242,242
111,140,243,243
111,141,244,244
112,113,245,245
112,114,246,246
112,116,247,247
112,117,248,248
112,118,249,249
112,119,250,250
112,120,251,251
112,121,252,252
112,122,253,253
112,123,254,254
112,124,255,255
112,125,256,256
112,126,257,257
112,127,258,258
112,129,259,259
112,130,260,260
112,131,261,261
112,132,262,262
112,134,263,263
112,135,264,264
112,136,265,265
112,137,266,266
112,138,267,267
112,139,268,268
112,140,269,269
112,141,270,270
113,114,271,271
113,116,272,272
113,117,273,273
113,118,274,274
113,119,275,275
113,120,276,276
113,121,277,277
113,122,278,278
113,123,279,279
113,124,280,280
113,125,281,281
113,126,282,282
113,127,283,283
113,129,284,284
113,130,285,285
113,131,286,286
113,132,287,287
113,134,288,288
113,135,289,289
113,136,290,290
113,137,291,291
113,138,292,292
113,139,293,293
113,140,294,294
113,141,295,295
114,116,296,296
114,117,297,297
114,118,298,298
114,119,299,299
114,120,300,300
114,121,301,301
114,122,302,302
114,123,303,303
114,124,304,304
114,125,305,305
114,126,306,306
114,127,307,307
114,129,308,308
114,130,309,309
114,131,310,310
114,132,311,311
114,134,312,312
114,135,313,313
114,136,314,314
114,137,315,315
114,138,316,316
114,139,317,317
114,140,318,318
114,141,319,319
116,117,320,320
116,118,321,321
116,119,322,322
116,120,323,323
116,121,324,324
116,122,325,325
116,123,326,326
116,124,327,327
116,125,328,328
116,126,329,329
116,127,330,330
116,129,331,331
116,130,332,332
116,131,333,333
116,132,334,334
116,134,335,335
116,135,336,336
116,136,337,337
116,137,338,338
116,138,339,339
116,139,340,340
116,140,341,341
116,141,342,342
117,118,343,343
117,119,344,344
117,120,345,345
117,121,346,346
117,122,347,347
117,123,348,348
117,124,349,349
117,125,350,350
117,126,351,351
117,127,352,352
117,129,353,353
117,130,354,354
117,131,355,355
117,132,356,356
117,134,357,357
117,135,358,358
117,136,359,359
117,137,360,360
117,138,361,361
117,139,362,362
117,140,363,363
117,141,364,364
118,119,365,365
118,120,366,366
118,121,367,367
118,122,368,368
118,123,369,369
118,124,370,370
118,125,371,371
118,126,372,372
118,127,373,373
118,129,374,374
118,130,375,375
118,131,376,376
118,132,377,377
118,134,378,378
118,135,379,379
118,136,380,380
118,137,381,381
118,138,382,382
118,139,383,383
118,140,384,384
118,141,385,385
119,120,386,386
119,121,387,387
119,122,388,388
119,123,389,389
119,124,390,390
119,125,391,391
119,126,392,392
119,127,393,393
119,129,394,394
119,130,395,395
119,131,396,396
119,132,397,397
119,134,398,398
119,135,399,399
119,136,400,400
119,137,401,401
119,138,402,402
119,139,403,403
119,140,404,404
119,141,405,405
120,121,406,406
120,122,407,407
120,123,408,408
