sub1,sub2,pairID,trialID
106,112,168,168
106,113,169,169
106,114,170,170
106,115,171,171
106,116,172,172
106,117,173,173
106,118,174,174
106,119,175,175
106,120,176,176
106,121,177,177
106,122,178,178
106,123,179,179
106,124,180,180
106,125,181,181
106,126,182,182
106,127,183,183
106,129,184,184
106,130,185,185
106,131,186,186
106,132,187,187
106,134,188,188
106,135,189,189
106,136,190,190
106,137,191,191
106,138,192,192
106,139,193,193
106,140,194,194
106,141,195,195
109,111,196,196
109,112,197,197
109,113,198,198
109,114,199,199
109,115,200,200
109,116,201,201
109,117,202,202
109,118,203,203
109,119,204,204
109,120,205,205
109,121,206,206
109,122,207,207
109,123,208,208
109,124,209,209
109,125,210,210
109,126,211,211
109,127,212,212
109,129,213,213
109,130,214,214
109,131,215,215
109,132,216,216
109,134,217,217
109,135,218,218
109,136,219,219
109,137,220,220
109,138,221,221
109,139,222,222
109,140,223,223
109,141,224,224
111,112,225,225
111,113,226,226
111,114,227,227
111,115,228,228
111,116,229,229
111,117,230,230
111,118,231,231
111,119,232,232
111,120,233,233
111,121,234,234
111,122,235,235
111,123,236,236
111,124,237,237
111,125,238,238
111,126,239,239
111,127,240,240
111,129,241,241
111,130,242,242
111,131,243,243
111,132,244,244
111,134,245,245
111,135,246,246
111,136,247,247
111,137,248,248
111,138,249,249
111,139,250,250
111,140,251,251
111,141,252,252
112,113,253,253
112,114,254,254
112,115,255,255
112,116,256,256
112,117,257,257
112,118,258,258
112,119,259,259
112,120,260,260
112,121,261,261
112,122,262,262
112,123,263,263
112,124,264,264
112,125,265,265
112,126,266,266
112,127,267,267
112,129,268,268
112,130,269,269
112,131,270,270
112,132,271,271
112,134,272,272
112,135,273,273
112,136,274,274
112,137,275,275
112,138,276,276
112,139,277,277
112,140,278,278
112,141,279,279
113,114,280,280
113,115,281,281
113,116,282,282
113,117,283,283
113,118,284,284
113,119,285,285
113,120,286,286
113,121,287,287
113,122,288,288
113,123,289,289
113,124,290,290
113,125,291,291
113,126,292,292
113,127,293,293
113,129,294,294
113,130,295,295
113,131,296,296
113,132,297,297
113,134,298,298
113,135,299,299
113,136,300,300
113,137,301,301
113,138,302,302
113,139,303,303
113,140,304,304
113,141,305,305
114,115,306,306
114,116,307,307
114,117,308,308
114,118,309,309
114,119,310,310
114,120,311,311
114,121,312,312
114,122,313,313
114,123,314,314
114,124,315,315
114,125,316,316
114,126,317,317
114,127,318,318
114,129,319,319
114,130,320,320
114,131,321,321
114,132,322,322
114,134,323,323
114,135,324,324
114,136,325,325
114,137,326,326
114,138,327,327
114,139,328,328
114,140,329,329
114,141,330,330
115,116,331,331
115,117,332,332
115,118,333,333
115,119,334,334
115,120,335,335
115,121,336,336
115,122,337,337
115,123,338,338
115,124,339,339
115,125,340,340
115,126,341,341
115,127,342,342
115,129,343,343
115,130,344,344
115,131,345,345
115,132,346,346
115,134,347,347
115,135,348,348
115,136,349,349
115,137,350,350
115,138,351,351
115,139,352,352
115,140,353,353
115,141,354,354
116,117,355,355
116,118,356,356
116,119,357,357
116,120,358,358
116,121,359,359
116,122,360,360
116,123,361,361
116,124,362,362
116,125,363,363
116,126,364,364
116,127,365,365
116,129,366,366
116,130,367,367
116,131,368,368
116,132,369,369
116,134,370,370
116,135,371,371
116,136,372,372
116,137,373,373
116,138,374,374
116,139,375,375
116,140,376,376
116,141,377,377
117,118,378,378
117,119,379,379
117,120,380,380
117,121,381,381
117,122,382,382
117,123,383,383
117,124,384,384
117,125,385,385
117,126,386,386
117,127,387,387
117,129,388,388
117,130,389,389
117,131,390,390
117,132,391,391
117,134,392,392
117,135,393,393
117,136,394,394
117,137,395,395
117,138,396,396
117,139,397,397
117,140,398,398
117,141,399,399
118,119,400,400
118,120,401,401
118,121,402,402
118,122,403,403
118,123,404,404
118,124,405,405
118,125,406,406
118,126,407,407
118,127,408,408
